GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
0500000US42101,42101,"Philadelphia County, Pennsylvania",17491,2480,7695,1533,7414,1536,4680,1312,0,246,4680,1312,3964,1373,716,517,2734,876,281,221,0,246,0,246,0,246,281,221,9796,1904,8400,1858,5702,1362,0,246,5702,1362,5060,1249,642,427,2698,904,1396,598,72,86,72,86,0,246,1324,576
0500000US44007,44007,"Providence County, Rhode Island",7384,1776,3388,1152,2993,1053,2122,868,0,287,2122,868,1796,774,326,327,871,501,395,386,0,287,0,287,0,287,395,386,3996,1121,3737,1102,2738,966,0,287,2738,966,2278,806,460,440,999,384,259,208,73,101,73,101,0,287,186,155
0500000US48029,48029,"Bexar County, Texas",28206,3744,14170,2387,13150,2365,10326,2027,803,498,9523,1964,8477,2023,1046,778,2824,901,1020,364,378,293,337,282,41,68,642,268,14036,1998,12500,1848,8687,1415,395,258,8292,1395,7657,1439,635,505,3813,1062,1536,461,114,135,57,89,57,93,1422,466
0500000US48113,48113,"Dallas County, Texas",37370,4550,20571,3204,19449,3045,15852,2641,0,291,15852,2641,12833,2330,3019,1131,3597,1132,1122,452,260,183,187,158,73,88,862,379,16799,2280,15385,2273,11958,2127,0,291,11958,2127,10778,1987,1180,539,3427,868,1414,396,157,188,157,188,0,291,1257,355
0500000US48141,48141,"El Paso County, Texas",10539,2216,4905,1348,4167,1289,3135,1301,370,195,2765,1313,2521,1308,244,235,1032,396,738,388,89,106,44,73,45,74,649,370,5634,1290,4969,1234,3225,1065,130,145,3095,1064,2605,883,490,432,1744,591,665,362,0,291,0,291,0,291,665,362
0500000US48201,48201,"Harris County, Texas",38037,3802,18742,2209,17773,2196,15013,1980,86,143,14927,1953,14457,1966,470,292,2760,879,969,420,51,84,51,84,0,291,918,410,19295,2375,18005,2349,13113,2003,0,291,13113,2003,12176,1853,937,505,4892,1016,1290,555,50,82,50,82,0,291,1240,557
0500000US48439,48439,"Tarrant County, Texas",18414,2334,9649,1639,9048,1587,6678,1587,104,126,6574,1584,5648,1447,926,520,2370,840,601,357,65,110,65,110,0,291,536,344,8765,1334,7952,1302,5617,1021,0,291,5617,1021,5339,1031,278,258,2335,747,813,333,253,185,210,191,43,69,560,318
0500000US49035,49035,"Salt Lake County, Utah",11755,1874,6327,1382,6038,1361,4828,1162,0,265,4828,1162,4266,1027,562,433,1210,745,289,288,0,265,0,265,0,265,289,288,5428,1143,4960,1072,3741,994,0,265,3741,994,3053,896,688,425,1219,566,468,361,58,106,58,106,0,265,410,345
0500000US51059,51059,"Fairfax County, Virginia",16978,3004,8649,1706,8529,1718,6641,1456,530,494,6111,1370,5807,1318,304,237,1888,721,120,123,61,71,61,71,0,287,59,97,8329,1717,7907,1794,5640,1336,255,348,5385,1304,5050,1275,335,221,2267,916,422,303,91,88,91,88,0,287,331,273
0500000US51810,51810,"Virginia Beach city, Virginia",10278,2222,4588,1335,4348,1311,2985,946,561,507,2424,823,2280,814,144,170,1363,780,240,189,73,122,73,122,0,287,167,157,5690,1471,5313,1448,3319,895,470,427,2849,860,2645,817,204,201,1994,999,377,267,54,92,54,92,0,287,323,268
0500000US53033,53033,"King County, Washington",48218,3555,23027,2396,22571,2386,17390,2096,0,273,17390,2096,15969,1964,1421,558,5181,1225,456,302,253,219,253,219,0,273,203,206,25191,2422,23703,2461,18515,2145,0,273,18515,2145,15335,1840,3180,1293,5188,1158,1488,474,62,105,62,105,0,273,1426,458
0500000US53035,53035,"Kitsap County, Washington",7651,1282,4016,894,3589,798,2749,735,65,110,2684,732,2430,656,254,258,840,583,427,332,14,23,14,23,0,273,413,325,3635,796,3409,766,2430,686,31,54,2399,665,1862,553,537,370,979,409,226,168,0,273,0,273,0,273,226,168
0500000US53053,53053,"Pierce County, Washington",24672,2893,11738,1663,11671,1652,8950,1453,1113,596,7837,1321,6306,1233,1531,618,2721,648,67,96,0,273,0,273,0,273,67,96,12934,1903,12387,1906,7489,1280,254,259,7235,1219,6556,1213,679,504,4898,1306,547,266,26,46,26,46,0,273,521,252
0500000US53061,53061,"Snohomish County, Washington",12287,1622,6464,1237,6080,1186,4858,1029,246,380,4612,1035,3674,1019,938,438,1222,532,384,291,0,273,0,273,0,273,384,291,5823,1146,5227,1084,3519,862,0,273,3519,862,3305,821,214,239,1708,695,596,322,0,273,0,273,0,273,596,322
0500000US53063,53063,"Spokane County, Washington",10260,1689,5055,1081,4564,1043,3228,877,124,213,3104,868,2849,845,255,178,1336,618,491,340,0,273,0,273,0,273,491,340,5205,1067,4801,1013,3600,910,80,137,3520,912,2682,844,838,389,1201,566,404,290,0,273,0,273,0,273,404,290
0500000US53077,53077,"Yakima County, Washington",4922,1327,2319,776,1968,733,1378,503,0,273,1378,503,1159,459,219,196,590,512,351,216,169,178,169,178,0,273,182,145,2603,845,2454,820,1711,656,0,273,1711,656,1375,566,336,318,743,430,149,159,0,273,0,273,0,273,149,159
0500000US54039,54039,"Kanawha County, West Virginia",6686,907,2902,619,2662,615,2038,546,0,269,2038,546,1586,455,452,311,624,358,240,146,0,269,0,269,0,269,240,146,3784,607,3370,584,2237,608,0,269,2237,608,1859,522,378,322,1133,403,414,208,25,41,25,41,0,269,389,210
0500000US55079,55079,"Milwaukee County, Wisconsin",10824,1990,5519,1401,5291,1410,3688,1314,73,120,3615,1310,2767,1016,848,511,1603,685,228,153,49,80,49,80,0,216,179,129,5305,1242,5066,1231,3394,906,0,216,3394,906,2767,790,627,427,1672,776,239,178,0,216,0,216,0,216,239,178
0500000US72021,72021,"Bayamón Municipio, Puerto Rico",36854,3853,18341,2116,15690,2077,10483,1671,98,159,10385,1663,7920,1402,2465,809,5207,1172,2651,911,181,166,119,135,62,101,2470,897,18513,2348,15021,1951,10393,1541,0,289,10393,1541,7770,1149,2623,1038,4628,1093,3492,840,323,253,323,253,0,289,3169,847
0500000US72025,72025,"Caguas Municipio, Puerto Rico",10701,2122,5786,1308,5379,1232,3178,936,109,176,3069,926,2507,791,562,447,2201,895,407,230,29,50,29,50,0,289,378,226,4915,1187,4354,1167,2419,854,0,289,2419,854,2076,761,343,316,1935,633,561,320,62,102,62,102,0,289,499,306
0500000US72113,72113,"Ponce Municipio, Puerto Rico",20660,3236,10334,1760,8978,1676,6186,1408,0,289,6186,1408,5112,1324,1074,547,2792,849,1356,464,160,186,160,186,0,289,1196,490,10326,2002,8749,1754,5630,1295,0,289,5630,1295,4117,1032,1513,724,3119,1002,1577,546,0,289,0,289,0,289,1577,546
0500000US72127,72127,"San Juan Municipio, Puerto Rico",24494,3052,11467,1812,9803,1685,6427,1312,0,289,6427,1312,5471,1213,956,458,3376,1009,1664,585,327,252,249,215,78,129,1337,525,13027,1940,11085,1743,7942,1533,0,289,7942,1533,6722,1344,1220,630,3143,737,1942,648,313,266,226,228,87,144,1629,657
0500000US72135,72135,"Toa Alta Municipio, Puerto Rico",21298,3784,10638,2102,9002,1974,4084,1353,0,289,4084,1353,3437,1287,647,537,4918,1584,1636,559,0,289,0,289,0,289,1636,559,10660,2166,9184,2026,4434,1423,0,289,4434,1423,4136,1335,298,310,4750,1335,1476,504,0,289,0,289,0,289,1476,504
0500000US72137,72137,"Toa Baja Municipio, Puerto Rico",15259,2262,8300,1665,7372,1520,5756,1342,152,191,5604,1313,4723,1140,881,559,1616,702,928,403,270,277,270,277,0,289,658,345,6959,1255,6430,1179,3765,859,0,289,3765,859,2841,828,924,530,2665,966,529,346,61,101,61,101,0,289,468,338
